,offense,defense,home,away,offense_score,defense_score,period,yard_line,ytg,down,distance,scoring,yg,play_type,ppa,offVal,defVal,playOutcomeClass
19,San José State,Auburn,Auburn,San José State,0,0,2,17,17,1,10,False,16,Pass Reception,1.641881827663971,103.11,117.07,1
20,Auburn,San José State,Auburn,San José State,7,3,2,93,7,1,7,True,7,Rushing Touchdown,2.196754630327211,121.0,87.03,1
21,San José State,Auburn,Auburn,San José State,3,7,2,3,3,1,3,False,2,Rush,-0.435900504741669,103.11,117.07,1
22,San José State,Auburn,Auburn,San José State,10,7,2,1,1,2,1,True,1,Rushing Touchdown,1.900352237473006,103.11,117.07,1
23,Auburn,San José State,Auburn,San José State,14,10,3,99,1,1,1,True,1,Rushing Touchdown,0.938021275120443,121.0,87.03,1
24,San José State,Auburn,Auburn,San José State,10,17,3,15,15,2,3,False,3,Rush,-0.2006529786716855,103.11,117.07,1
25,San José State,Auburn,Auburn,San José State,10,17,3,12,12,2,10,False,2,Rush,-0.161561009875187,103.11,117.07,1
26,Auburn,San José State,Auburn,San José State,24,13,4,96,4,1,4,True,4,Rushing Touchdown,1.688190518713975,121.0,87.03,1
27,Penn State,Auburn,Auburn,Penn State,7,3,1,7,7,2,7,True,7,Rushing Touchdown,2.607148468017737,155.15,117.07,1
28,Auburn,Penn State,Auburn,Penn State,3,7,2,90,10,1,10,False,3,Rush,-0.093321625768295,121.0,50.06,1
29,Auburn,Penn State,Auburn,Penn State,3,7,2,93,7,3,7,False,2,Pass Reception,-0.16799752909024,121.0,50.06,1
30,Penn State,Auburn,Auburn,Penn State,7,6,2,10,10,1,10,False,4,Rush,-0.014840150532496,155.15,117.07,1
31,Penn State,Auburn,Auburn,Penn State,7,6,2,6,6,2,6,False,3,Pass Reception,-0.095895406997053,155.15,117.07,1
32,Penn State,Auburn,Auburn,Penn State,14,6,2,3,3,3,3,True,3,Rushing Touchdown,2.624562399778991,155.15,117.07,1
33,Penn State,Auburn,Auburn,Penn State,14,6,3,5,5,1,5,False,4,Rush,-0.016571396914132,155.15,117.07,1
34,Penn State,Auburn,Auburn,Penn State,21,6,3,1,1,2,1,True,1,Rushing Touchdown,1.900352237473006,155.15,117.07,1
35,Penn State,Auburn,Auburn,Penn State,31,6,3,6,6,2,3,True,6,Rushing Touchdown,2.235575442321151,155.15,117.07,1
36,Penn State,Auburn,Auburn,Penn State,38,12,4,7,7,1,7,False,2,Rush,-0.241823061202709,155.15,117.07,1
37,Penn State,Auburn,Auburn,Penn State,38,12,4,5,5,2,5,False,4,Rush,-0.01542053764963,155.15,117.07,1
38,Auburn,Penn State,Auburn,Penn State,12,41,4,82,18,1,10,False,4,Rush,-0.023063540640796,121.0,50.06,1
39,Auburn,Penn State,Auburn,Penn State,12,41,4,86,14,2,6,False,5,Pass Reception,0.074137432725539,121.0,50.06,1
40,Auburn,Missouri,Auburn,Missouri,0,0,1,84,16,3,3,False,2,Rush,-0.260776316520081,121.0,95.45,1
41,Auburn,Missouri,Auburn,Missouri,0,0,1,86,14,4,1,False,3,Rush,0.573482936029295,121.0,95.45,1
42,Auburn,Missouri,Auburn,Missouri,7,0,1,89,11,1,10,True,11,Rushing Touchdown,2.521739413367925,121.0,95.45,1
43,Auburn,Missouri,Auburn,Missouri,7,0,1,92,8,1,8,False,5,Pass Reception,0.108174954739599,121.0,95.45,1
44,Auburn,Missouri,Auburn,Missouri,14,0,1,97,3,2,3,True,3,Rushing Touchdown,2.211424613960093,121.0,95.45,1
45,Missouri,Auburn,Auburn,Missouri,0,14,2,17,17,1,10,False,3,Rush,-0.108377033597897,83.55,117.07,1
46,Missouri,Auburn,Auburn,Missouri,0,14,2,14,14,2,7,False,5,Rush,0.0626043582596645,83.55,117.07,1
47,Missouri,Auburn,Auburn,Missouri,7,14,2,9,9,3,2,True,9,Rushing Touchdown,2.6256757781226465,83.55,117.07,1
48,Missouri,Auburn,Auburn,Missouri,7,14,2,19,19,3,4,False,9,Rush,0.481393649461502,83.55,117.07,1
49,Missouri,Auburn,Auburn,Missouri,7,14,2,10,10,1,10,False,6,Rush,0.1799366018014815,83.55,117.07,1
50,Missouri,Auburn,Auburn,Missouri,7,14,2,4,4,3,4,False,3,Rush,-0.0897810533795195,83.55,117.07,1
51,Missouri,Auburn,Auburn,Missouri,14,14,2,1,1,4,1,True,1,Rushing Touchdown,2.785753974856101,83.55,117.07,1
52,Auburn,LSU,Auburn,LSU,14,0,2,82,18,1,10,True,18,Passing Touchdown,2.591792709070591,121.0,80.71,1
53,LSU,Auburn,Auburn,LSU,14,17,2,1,1,2,1,True,1,Rushing Touchdown,1.900352237473006,231.89,117.07,1
54,Auburn,LSU,Auburn,LSU,17,21,4,83,17,1,10,False,3,Rush,-0.108377033597897,121.0,80.71,1
55,Auburn,LSU,Auburn,LSU,17,21,4,86,14,3,7,False,6,Pass Reception,0.1235866572000595,121.0,80.71,1
56,Auburn,LSU,Auburn,LSU,17,21,4,92,8,4,1,False,3,Rush,1.034564828637556,121.0,80.71,1
